category,Ref,CART_Precision,CART_Recall,CART_F1,RF_Precision,RF_Recall,RF_F1,SVM_Precision,SVM_Recall,SVM_F1
Hydrothermal,85,,,,,,,,,
Metamorphic,85,1.00 ,0.57 ,0.73 ,1.00 ,1.00 ,1.00 ,1.00 ,0.99 ,1.00 
Igneous,86,0.00 ,,,,,,,,
Hydrothermal,86,,,,,,,,,
Metamorphic,86,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Igneous,89,0.00 ,,,,,,,,
Hydrothermal,89,,,,,,,,,
Metamorphic,89,1.00 ,0.08 ,0.14 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Igneous,90,0.00 ,,,,,,,,
Hydrothermal,90,,,,,,,,,
Metamorphic,90,1.00 ,0.50 ,0.67 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
